Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleTestSuite,Chrome 70.0.3538.110,,2018-12-06 14:18:59,2018-12-06 14:19:25,26.139s,PASSED
,,,,,,
Test Cases/Case1,Chrome 70.0.3538.110,,2018-12-06 14:18:59,2018-12-06 14:19:25,25.473s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-06 14:19:00,2018-12-06 14:19:04,3.799s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-06 14:19:04,2018-12-06 14:19:18,14.524s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 14:19:18,2018-12-06 14:19:18,0.344s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 14:19:18,2018-12-06 14:19:22,3.614s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 14:19:22,2018-12-06 14:19:22,0.361s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 14:19:22,2018-12-06 14:19:23,0.155s,PASSED
verifyElementPresent,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.085s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.160s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.101s,PASSED
verifyElementPresent,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.039s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.207s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.137s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.103s,PASSED
verifyElementPresent,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:23,0.035s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 14:19:23,2018-12-06 14:19:24,0.269s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 14:19:24,2018-12-06 14:19:24,0.162s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 14:19:24,2018-12-06 14:19:24,0.097s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-06 14:19:24,2018-12-06 14:19:25,0.768s,PASSED
